,largecap,smallcap,rise,oscillation,decline,growth,value
2007-12-28,163402.OF,000011.OF,002011.OF,050004.OF,450002.OF,377010.OF,000021.OF
2008-06-06,450002.OF,002011.OF,373010.OF,240009.OF,360005.OF,519993.OF,110010.OF
2008-12-05,519039.OF,000011.OF,020005.OF,240009.OF,100022.OF,240001.OF,240002.OF
2009-05-22,000011.OF,519013.OF,200006.OF,020010.OF,020005.OF,550002.OF,163402.OF
2009-11-06,519087.OF,519001.OF,121002.OF,519668.OF,340007.OF,100022.OF,100026.OF
2010-04-30,202011.OF,630002.OF,000011.OF,180012.OF,070011.OF,340007.OF,320006.OF
2010-10-15,660003.OF,163804.OF,163805.OF,161005.OF,580003.OF,530006.OF,660001.OF
2011-04-08,040004.OF,320007.OF,000011.OF,519011.OF,610001.OF,320011.OF,570005.OF
2011-10-07,270021.OF,213008.OF,100029.OF,400003.OF,166005.OF,580006.OF,160314.OF
2012-04-06,100022.OF,166002.OF,519095.OF,166005.OF,481006.OF,121005.OF,160505.OF
2012-09-28,450002.OF,519095.OF,257020.OF,162006.OF,379010.OF,020023.OF,519698.OF
2013-03-29,020023.OF,002001.OF,700001.OF,340007.OF,110029.OF,110023.OF,519674.OF
2013-09-18,398031.OF,630011.OF,080012.OF,260115.OF,377530.OF,373010.OF,630001.OF
2014-02-28,213001.OF,180031.OF,210004.OF,180020.OF,213008.OF,590005.OF,160512.OF
2014-08-22,519087.OF,000172.OF,160505.OF,519093.OF,233009.OF,233011.OF,217010.OF
2015-02-06,217001.OF,400007.OF,050007.OF,400001.OF,320011.OF,519697.OF,519095.OF
2015-07-24,762001.OF,000279.OF,400011.OF,210002.OF,160105.OF,360010.OF,000480.OF
2016-01-01,000165.OF,121006.OF,000845.OF,519983.OF,519181.OF,160212.OF,519697.OF
